Neighborhood,Metric,Value,price,review_scores_rating,reviews_per_month
Edgewater,length_of_,0,0,0.579506435332799,0.776902469427761
Edgewater,_tf_idf_sum,0,0,0.579506435332799,0.776902469427761
Edgewater,_ARI,0.252435197,0,0.579506435332799,0.776902469427761
Edgewater,_polarity,1,0,0.579506435332799,0.776902469427761
Edgewater,_subjectivity,1,0,0.579506435332799,0.776902469427761
Lake View,length_of_,0.276724659,0.431941518225339,1,0.524486984201339
Lake View,_tf_idf_sum,0.304389122,0.431941518225339,1,0.524486984201339
Lake View,_ARI,0.233914499,0.431941518225339,1,0.524486984201339
Lake View,_polarity,0.197909827,0.431941518225339,1,0.524486984201339
Lake View,_subjectivity,0,0.431941518225339,1,0.524486984201339
Lincoln Park,length_of_,0.142172171,0.650074676925015,0,0.460824226765494
Lincoln Park,_tf_idf_sum,0.14299,0.650074676925015,0,0.460824226765494
Lincoln Park,_ARI,0.187864439,0.650074676925015,0,0.460824226765494
Lincoln Park,_polarity,0.521535543,0.650074676925015,0,0.460824226765494
Lincoln Park,_subjectivity,0.664502915,0.650074676925015,0,0.460824226765494
Logan Square,length_of_,1,0.129334755927431,0.988474694121448,1
Logan Square,_tf_idf_sum,1,0.129334755927431,0.988474694121448,1
Logan Square,_ARI,0.455950654,0.129334755927431,0.988474694121448,1
Logan Square,_polarity,0,0.129334755927431,0.988474694121448,1
Logan Square,_subjectivity,0.312611882,0.129334755927431,0.988474694121448,1
Loop,length_of_,0.168491584,1,0.242749720139084,0
Loop,_tf_idf_sum,0.152092744,1,0.242749720139084,0
Loop,_ARI,0,1,0.242749720139084,0
Loop,_polarity,0.568984834,1,0.242749720139084,0
Loop,_subjectivity,0.500557308,1,0.242749720139084,0
Near North Side,length_of_,0.417802531,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,_tf_idf_sum,0.438139386,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,_ARI,0.6084907,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,_polarity,0.506648789,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,_subjectivity,0.080098148,0.805860883610122,0.222203385016702,0.45409177605771
Near West Side,length_of_,0.29722919,0.479434574337057,0.358090557119101,0.62197114141819
Near West Side,_tf_idf_sum,0.258407187,0.479434574337057,0.358090557119101,0.62197114141819
Near West Side,_ARI,0.330447002,0.479434574337057,0.358090557119101,0.62197114141819
Near West Side,_polarity,0.392681767,0.479434574337057,0.358090557119101,0.62197114141819
Near West Side,_subjectivity,0.551824683,0.479434574337057,0.358090557119101,0.62197114141819
Uptown,length_of_,0.437284346,0.308042914594833,0.684391092229316,0.392777790652336
Uptown,_tf_idf_sum,0.438327002,0.308042914594833,0.684391092229316,0.392777790652336
Uptown,_ARI,0.313338579,0.308042914594833,0.684391092229316,0.392777790652336
Uptown,_polarity,0.430973067,0.308042914594833,0.684391092229316,0.392777790652336
Uptown,_subjectivity,0.514488211,0.308042914594833,0.684391092229316,0.392777790652336
West Town,length_of_,0.747755682,0.46121875673635,0.893177748364377,0.769656066013436
West Town,_tf_idf_sum,0.716638866,0.46121875673635,0.893177748364377,0.769656066013436
West Town,_ARI,1,0.46121875673635,0.893177748364377,0.769656066013436
West Town,_polarity,0.281760994,0.46121875673635,0.893177748364377,0.769656066013436
West Town,_subjectivity,0.30188633,0.46121875673635,0.893177748364377,0.769656066013436
